id	type	message	created_time	comments	likes	commentsandlikes
97730949316_10151405857274317	status	ESSE TEXTO PODE NÃO CORRESPONDER AO PENSAMENTO DO PARTIDO.__- Estou escrevendo esse texto justamente para buscar informações sobre o pensamento em questão dos participantes do grupo.__Ontem li a noticia sobre uma desapropriação do museu do índio e retirada de terra dos guaranis e de belo monte._Não vejo o problema o governo e sim a desinformação da sociedade parante tal informação._São comentários como:___Bando de índios desocupados.____Índio é tudo vagabundo____Tem que desculturar.____Índio não produz nada_.__Sinceramente são comentários dignos de pena._Primeiramente se ouve invasão de propriedade e expulsão de antigos moradores_ seu direito a terra deve ser preservado_ porém sabemos que antes de existir a propriedade ali já era uma tribo indígena.__Museu do índio se não estou enganado foi construído pelo Duque de Saxe_ Belo Monte era uma reserva indígena antes do inicio das construções.__Além do mais o Brasil _era_ dos índios.__O índio ele não vive na mesma sociedade que vivemos ou seja ele não necessita contribuir em nada na nossa sociedade_ assim como não necessitamos contribuir para a sociedade indígena.__Não estou falando de viver em outra cultura e sim outra sociedade.__A cultura indígena é altamente ligada a terra e aos antepassados_ retirar a terra e colocá-los em prédios ou abrigos é o mesmo que destruir toda sociedade indígena.__Infelizmente que a situação dos índios do país não melhora_ não é governo_ não é PT_ não é PSDB_ não é FUNAI é total desinformação.__Atualmente em aldeias indígenas índios são expulsos por pistoleiros_ justamente por esse pensamento atrasado de dizer _Índio vagabundo__ como se ele tivesse que contribuir para uma sociedade que ele não tem nenhum interesse.__https://www.youtube.com/watch?v=mP721XCqhhQ	2013-03-24T02:29:57+0000	2	1	3
97730949316_10151403301679317	video		2013-03-22T14:56:21+0000	22	0	22
97730949316_10151405824274317	video	Enfim chegou a Nossa Vez!_O dispositivo LRAD estava em protestos do 2004 Convenção Nacional Republicana em Nova York_ mas não utilizada.__LRAD foi extensamente utilizada contra os manifestantes da oposição em Tbilisi _ Geórgia _ em novembro de 2007.__Moradores de Dusit em Bangkok testemunhou em uso durante protestos de Triumph empregados da fábrica contra demissões em 28 de agosto de 2009.__Em 2009_ o governo de Honduras usado LRAD em pelo menos duas ocasiões_ em 22 de setembro e 25_ sobre aqueles que buscam refúgio no Brasil embaixada. Além de funcionários da embaixada_ estes incluído o presidente deposto de Honduras_ Manuel Zelaya _ sua família e alguns torcedores e jornalistas. __Em uma foto_ existem dois modelos_ o LRAD 1000 LRAD (ou 1000X ou 1000Xi) eo LRAD 100X. Israel foi acusado de fornecer esses dispositivos_ O LRAD foi usado pela primeira vez no Estados Unidos _ em Pittsburgh _ durante o tempo da cúpula do G20 em 24 de setembro-25 de 2009. __Pittsburgh polícia novamente utilizada LRAD como uma medida de precaução para evitar tumultos de ficar fora de controle após o Super Bowl 2011. __Ministério da Defesa de Israel ordenou que as unidades LRAD em junho de 2011. _LRAD foi noticiado e utilizado pela Polícia de Oakland Departamento durante a folga do Oakland Ocupar acampamento na manhã de 25 de outubro de 2011.__LRAD estava presente_ mas não utilizados_ quando o New York City Police Department apuradas Ocupar manifestantes Wall Street de Zuccotti Park_ na manhã de 15 de novembro de 2011. __Dois dias depois_ ele teria sido utilizado brevemente contra Ocupar manifestantes Wall Street. A polícia polaca adquirida unidades LRAD em dezembro de 2010.__O LRAD foi implantado durante uma marcha da OTAN em 20 de maio de 2012 em Chicago_ Illinois_ em Michigan Avenue. & Cermack.__Brazil utilizado no RJ para desocupar Índios e coibir um manifesto pró ocupação 2013.__É Nois!_https://www.facebook.com/video/video.php?v=219921824813109	2013-03-24T01:46:25+0000	0	0	0
97730949316_10151405823374317	video	Pra quem duvida que o movimento pirata é pra valer_ internet_ gutenberg_ conhecimento_ pirataria e livre informação__https://www.youtube.com/watch?v=ToA4OyQQtNo	2013-03-24T01:45:14+0000	0	0	0
97730949316_10151405703774317	link	Pediram_ pediram_ relutei_ mas criei..._As Maquis - um espaço para mulheres guerreiras_ não apenas feministas_ mas Guerreiras!_Criei o grupo_ mas como minha administração é também horizontalizada_ como boa Pirata_ já dei o status de Administradora para 5 mulheres.__Somos As Maquis_ renascidas da ala feminina da Resistência Francesa._A guerra pela paz começou!_Mulheres Piratas sejam bem-vindas!_Mas só as guerreiras...__https://www.facebook.com/groups/468888446516573/	2013-03-23T23:28:59+0000	3	1	4
97730949316_10151405610649317	link	Nada a declarar...	2013-03-23T22:02:03+0000	9	0	9
97730949316_10151404909284317	photo	E quem acredita em mentiras?_Os jornais?_O povo que é mantido com fome e humilhado a troco de Vale Miséria?_Ou os políticos que guardam coisas em cuecas_ meias e contas no exterior?_Essa senhora está se fortalecendo... com a mais pura máscara de ineficiência._Brasileiros sem saúde_ educação medíocre que só é bonita nos anúncios institucionais._Estradas de péssima qualidade_ caras_ superfaturadas e remendadas com cuspe._A produção agrícola parada nas estradas_ por termos portos sem um mínimo de eficiência._E a senhora em questão pensando em reeleição?!?!_Olhe primeiro para SEU POVO com olhos honestos_ pare de criar ministérios que só prestam para engordar contas bancárias. Pare de gastar o dinheiro do contribuinte com viagens inúteis e hotéis nababescos._Senhora_ a senhora está se tornando a segunda piada nacional. A primeira é seu mestre!	2013-03-23T12:48:04+0000	14	0	14
97730949316_10151405058449317	photo	Politicamente falando... a coisa é bem assim mesmo!	2013-03-23T15:33:30+0000	1	3	4
97730949316_10151405294849317	link	Gaúcho de Alegrete tem chances de ocupar vaga no Parlamento Alemão pelo Partido Pirata	2013-03-23T18:30:11+0000	1	3	4
97730949316_10151405312364317	status	Hasta!	2013-03-23T18:45:47+0000	0	0	0
